	cm_angle.dist_ctr2best.mean	cm_angle.dist_ctr2worst.mean	cm_angle.angle.mean	cm_angle.costs_runtime	cm_grad.mean	cm_grad.costs_runtime	disp.ratio_mean_02	disp.ratio_mean_05	disp.ratio_mean_10	disp.ratio_mean_25	disp.ratio_median_02	disp.ratio_median_05	disp.ratio_median_10	disp.ratio_median_25	disp.diff_mean_02	disp.diff_mean_05	disp.diff_mean_10	disp.diff_mean_25	disp.diff_median_02	disp.diff_median_05	disp.diff_median_10	disp.diff_median_25	disp.costs_runtime	ela_conv.conv_prob	ela_conv.lin_prob	ela_conv.lin_dev.orig	ela_conv.lin_dev.abs	ela_conv.costs_runtime	ela_curv.grad_norm.min	ela_curv.grad_norm.lq	ela_curv.grad_norm.mean	ela_curv.grad_norm.med	ela_curv.grad_norm.uq	ela_curv.grad_norm.max	ela_curv.grad_norm.sd	ela_curv.grad_scale.nas	ela_curv.hessian_cond.nas	ela_curv.costs_fun_evals	ela_curv.costs_runtime	ela_distr.skewness	ela_distr.kurtosis	ela_distr.number_of_peaks	ela_distr.costs_runtime	ela_level.mmce_lda_10	ela_level.mmce_qda_10	ela_level.mmce_mda_10	ela_level.lda_qda_10	ela_level.lda_mda_10	ela_level.qda_mda_10	ela_level.mmce_lda_25	ela_level.mmce_qda_25	ela_level.mmce_mda_25	ela_level.lda_qda_25	ela_level.lda_mda_25	ela_level.qda_mda_25	ela_level.mmce_lda_50	ela_level.mmce_qda_50	ela_level.mmce_mda_50	ela_level.lda_qda_50	ela_level.lda_mda_50	ela_level.qda_mda_50	ela_level.costs_runtime	ela_local.n_loc_opt.abs	ela_local.n_loc_opt.rel	ela_local.best2mean_contr.orig	ela_local.basin_sizes.avg_best	ela_local.basin_sizes.avg_non_best	ela_local.basin_sizes.avg_worst	ela_local.fun_evals.min	ela_local.fun_evals.lq	ela_local.fun_evals.mean	ela_local.fun_evals.median	ela_local.fun_evals.uq	ela_local.fun_evals.max	ela_local.fun_evals.sd	ela_local.costs_fun_evals	ela_local.costs_runtime	ela_meta.lin_simple.adj_r2	ela_meta.lin_simple.intercept	ela_meta.lin_simple.coef.min	ela_meta.lin_simple.coef.max	ela_meta.lin_simple.coef.max_by_min	ela_meta.lin_w_interact.adj_r2	ela_meta.quad_simple.adj_r2	ela_meta.quad_simple.cond	ela_meta.quad_w_interact.adj_r2	ela_meta.costs_runtime	ic.h.max	ic.eps.s	ic.eps.max	ic.eps.ratio	ic.m0	ic.costs_runtime	nbc.nn_nb.sd_ratio	nbc.nn_nb.mean_ratio	nbc.nn_nb.cor	nbc.dist_ratio.coeff_var	nbc.nb_fitness.cor	nbc.costs_runtime
10_1	0.6690477585596576	0.6581530336568049	0.5263384937203107	0.0036900369892168988	0.5053453953162695	0.0048780489172636915	0.25355844232810737	0.4040250936129609	0.5708359691443892	0.539668564586946	0.16892015784045064	0.3633658142737692	0.5240007757713842	0.5281294001986262	0.25355844232810965	0.4040250936129608	0.5708359691443882	0.5396685645869478	0.16892015784044964	0.36336581427377185	0.5240007757713837	0.5281294001986244	0.002380952450659683	0.9439999999999997	0.0	0.9998477273276654	0.00015561341596199746	0.013004926122314322	0.008353365241552	0.008190532651160279	0.00019890612097749402	0.0021923332039409517	0.0005182026177449305	1.6930790527989145e-05	4.5397795308374996e-05	0.0	0.0	1.0	0.1086069210184976	0.32305739615701523	0.026626306516591126	0.20833333333333331	0.0013123359898035108	0.9666666666666668	0.12000000000000002	0.8181818181818181	0.788216560509554	0.3256302521008401	0.0	0.7888888888888889	0.34722222222222227	0.2739726027397262	0.4903474903474897	0.25780885780885804	0.13919413919413967	0.18354430379746842	0.1363636363636364	0.22222222222222227	0.1482153660012094	0.031439172036711545	0.11043256997455478	0.06241610737335618	1.0	1.0	0.5009215394170939	0.0	0.8526785714285718	0.0	0.5465116279069767	0.791304347826087	0.8370493212947607	0.8303747534516768	0.7068965517241379	0.3378962536023055	0.4002436118861713	0.8370493212947607	0.7232429632178967	0.6128861000036724	0.000400222063925575	5.9760231728766625e-05	0.00026928361671688545	0.003643674065394761	0.9189036085769902	0.6838946250155067	0.0001309402392177673	0.9953284328920564	0.002564102604459318	0.4639162820518778	0.5815738963531689	0.00754879313694957	0.6863636363636366	0.42499999999999927	0.0071836346328496255	0.3766309940137882	0.7079302527636354	0.6024059271790785	0.3434657994899347	0.6799414369002691	0.005537459413144063
10_10	0.531061696673924	0.8366479813214924	0.6449587705802803	0.003321033281703672	0.43106776366832233	0.0036585367234402435	0.22036175371229832	0.43215922049124467	0.39229694173070445	0.4950344498738687	0.17894843362059887	0.3719226463607538	0.34278439369497843	0.4858719451958133	0.2203617537123001	0.43215922049124245	0.3922969417307031	0.49503444987387113	0.17894843362059817	0.3719226463607562	0.3427843936949783	0.48587194519581167	0.002083333414899127	0.984	0.0	0.9998487590363359	0.00015137661641090075	0.0022660098666256396	0.0240044485595394	0.009268858193868565	0.00020769685928964432	0.0024875843108039006	0.0004834506667826501	2.7136346979133643e-05	4.999865787957442e-05	0.0	0.0	1.0	0.09037267079687897	0.3335697295779627	0.035526971426345845	0.20833333333333331	0.0007874015816600256	0.6666666666666667	0.31999999999999995	0.6363636363636365	0.2694757471827529	0.27472527472527475	0.1282051282051282	0.9111111111111112	0.19444444444444445	0.2739726027397262	1.0	0.2988344988344989	0.07203907203907205	0.1455696202531646	0.14285714285714285	0.1895424836601307	0.10722323049001811	0.02896989625262198	0.16720019699581376	0.05436241609975281	1.0	1.0	0.4935206006013638	0.0	0.8526785714285718	0.0	0.5465116279069767	0.8248447204968945	0.8271758491493151	0.8520710059171599	0.6624668435013261	0.38976945244956773	0.381858946114065	0.8271758491493151	0.7218615092393246	0.682336319957667	0.00042885005600044196	9.563401148537478e-05	0.0002994684808152892	0.0024413723876329447	0.9281189868019902	0.7751149841758104	0.004029595269801684	0.9963622614155285	0.002564102638379866	0.5621133417966241	0.583493282149714	0.010423600612859352	0.6840909090909094	0.3499999999999984	0.005994291152120959	0.5731885716710129	0.7905456811143764	0.480197970778249	0.28190720391439095	0.7135235958910274	0.006188925213629158
10_11	0.3472773809885784	0.6143802578307326	0.4880960379748115	0.0033210333031825135	0.47901184552650855	0.004471544821107008	0.486151816454937	0.4871827965075425	0.6011898053999394	0.5608474165223463	0.47275728796093797	0.4978902219143026	0.5937757803915674	0.5378651481218311	0.48615181645493954	0.48718279650754226	0.6011898053999387	0.5608474165223487	0.47275728796093686	0.4978902219143063	0.5937757803915683	0.5378651481218297	0.0026785714864202403	0.969	0.0	0.9998504309108108	0.00015026344911150125	0.0022167487834100813	0.0068488861919385035	0.009255745917541714	0.00020142733149182093	0.002085029793114429	0.0005220986625559924	1.6934589003085662e-05	4.443733906228025e-05	0.0	0.0	1.0	0.09764862466143827	0.31533353133820125	0.024177661752270988	0.33333333333333337	0.0007874016045764272	0.7666666666666665	0.35999999999999993	0.8787878787878787	0.2866242038216561	0.20514087988136415	0.08295625942684769	0.9444444444444444	0.44444444444444453	0.19178082191780826	0.4625482625482616	0.40848484848484856	0.24603174603174605	0.22151898734177206	0.14935064935064934	0.17647058823529413	0.16613150914421307	0.05217865583904013	0.2037904711766252	0.05888143175691307	1.0	1.0	1.0	0.0	0.8526785714285718	0.0	0.5116279069767442	0.9652173913043478	0.8751151649161597	0.8757396449704142	0.6916445623342176	0.3119596541786743	0.3734505390240707	0.8751151649161599	0.7621654291131428	0.5127216465399036	0.00036980076319838225	1.7867861993116416e-05	0.0002525930285857074	0.012066779625558622	0.8534117743548755	0.6696651236109147	0.002642071160857538	0.9981913101820409	0.0032634033166166164	0.5667365748686993	0.585412667946259	0.009077320389970143	0.6863636363636366	0.5499999999999987	0.03277830637529082	0.32641646344332115	0.6418979528500081	0.6212369465217539	0.39793117169769177	0.60900084515104	0.010423452912042285
10_12	0.33739793414267444	0.5240268974736882	0.5172808870449186	0.0033210333031825135	0.1185638422693571	0.004065040807766102	0.37053149440603833	0.46849732206939076	0.5480891942688365	0.6383195878409154	0.31900197705471894	0.46690158331423504	0.5518812123290786	0.6373536103697558	0.3705314944060402	0.468497322069389	0.5480891942688342	0.6383195878409191	0.3190019770547185	0.4669015833142384	0.551881212329081	0.6373536103697515	0.002380952433335975	0.953	0.0	0.999856413864735	0.00014402648123095806	0.0023152709498412177	0.03691537996675632	0.004575390962245461	0.00014695077831139875	0.0014630666945464803	0.0004367352817181649	1.6933909388441244e-05	3.390299981644187e-05	0.0	0.0	1.0	0.09605146405321216	0.341443833215012	0.040410744649699286	0.25	0.0010498687933705687	0.6666666666666667	0.5599999999999998	0.6363636363636365	0.13409319477036527	0.27472527472527475	0.2465483234714005	0.6777777777777778	0.375	0.3561643835616439	0.38018018018017946	0.17575757575757575	0.11706349206349206	0.791139240506329	0.12987012987012989	0.11111111111111113	0.7396038822693918	0.3192119137915083	0.33129770992366225	0.056599552567174846	1.0	1.0	0.4970088420147837	0.0	0.8526785714285718	0.0	0.5465116279069767	0.8944099378881989	0.9013881211227812	0.9270216962524656	0.753315649867374	0.39697406340057645	0.4421585038734176	0.9013881211227812	0.7872906233806515	0.026607242436476684	0.00022497227224712945	1.2845081405723708e-05	2.935990087716133e-05	0.0017017036353382856	0.7942687013969867	0.1656943048056516	0.00027222149888166727	0.9958378287970453	0.0032634033166166173	0.6060778268561114	0.5719769673704433	0.005994836348864324	0.6795454545454548	0.5999999999999999	0.018553758323180673	0.3338750344982678	0.6722515840243116	0.3601807677023902	0.4236352866298573	0.5676971135834207	0.006514658147051937
10_13	0.8346562778101514	0.7134390799573119	0.5136507085630718	0.0036900369892168988	0.4321409775687233	0.004065040784104451	0.7223610509317735	0.5442996477062216	0.5353047018742326	0.5560114772750022	0.7269144753208	0.4822479397034254	0.49442881039295006	0.5400649371795666	0.7223610509317775	0.5442996477062202	0.5353047018742305	0.5560114772750062	0.7269144753207996	0.4822479397034273	0.4944288103929503	0.540064937179565	0.0026785714950820945	0.9810000000000001	0.0	0.999855722381479	0.00014450357234891816	0.016748768485407003	0.01576848269769957	0.009221649141061508	0.00017932002715936583	0.0018556706013167386	0.00047491221284733977	2.2496054850572183e-05	3.9749900580233375e-05	0.0	0.0	1.0	0.0997338065547505	0.3341860336748699	0.03394382379799209	0.16666666666666669	0.0010498687780929677	0.7000000000000001	0.35999999999999993	0.6060606060606062	0.25477707006369493	0.3142857142857141	0.15897435897435905	0.7888888888888889	0.31944444444444453	0.2876712328767125	0.534303534303535	0.24758698092031425	0.12110523221634335	0.2278481012658228	0.16883116883116883	0.12418300653594774	0.14982164090368655	0.07908611599297014	0.4005089058524165	0.05565995525268084	1.0	1.0	0.4972066974359726	0.0	0.8526785714285718	0.0	0.5697674418604651	0.6807453416149069	0.7456390885080768	0.7534516765285996	0.6518567639257294	0.3069164265129683	0.3790632785369628	0.7456390885080769	0.6507338974274668	0.5192207718464339	0.0003396912326350155	6.502789536506852e-05	0.00016097356303472832	0.0018676717014147952	0.9357885242664477	0.602443155780939	0.00013744995012145858	0.9980614069975273	0.0030303030995831788	0.45755106719813454	0.5815738963531689	0.00827785082600852	0.6818181818181819	0.29999999999999977	0.0232635585156164	0.15974536720289398	0.6244727108829605	0.3012343192535289	0.47898049682157107	0.6752373055004551	0.007491856814599351
10_14	0.3519318157720135	0.8585367935996813	0.508714977024826	0.002583025920374323	0.25823377819089893	0.004065040807766101	0.42198897823136405	0.5731505713429675	0.6516044741260675	0.6325513624344834	0.356275531255947	0.5658473399250693	0.5946383490576848	0.6308693226152807	0.4219889782313667	0.5731505713429658	0.6516044741260661	0.6325513624344873	0.35627553125594585	0.5658473399250725	0.5946383490576855	0.6308693226152793	0.0023809524419978294	0.967	0.0	0.9998418059853751	0.00015864780393715793	0.002463054200921597	0.030994780509501163	0.006294113666144541	0.0001597464181015222	0.0016753683036213152	0.0004418010471261797	1.693771007055465e-05	3.5692006926704087e-05	0.0	0.0	1.0	0.08549245784272179	0.3583236213698166	0.04903055817264414	0.29166666666666663	0.06902887141673922	0.6666666666666667	0.68	0.6363636363636365	0.09409380428488788	0.27472527472527475	0.3057199211045364	0.6666666666666664	0.4722222222222223	0.2876712328767125	0.2870708546384217	0.2080808080808078	0.18577307466196352	0.7215189873417722	0.18181818181818185	0.12418300653594774	0.4893156138399396	0.2618629173989451	0.4391857506361333	0.06662192393262946	1.0	1.0	0.5068161137870806	0.004016064257028113	0.8492541594951242	0.0	0.4767441860465117	0.772670807453416	0.7465450525152019	0.8343195266272192	0.6253315649867374	0.21181556195965417	0.30267531352779553	0.7465450525152019	0.6578311172531488	0.14101219788400532	0.0002564797547754994	5.327044054573532e-05	7.937931261050005e-05	0.001005884384989707	0.786040261418296	0.36022112001691353	0.00028445310222902396	0.9978925351930334	0.002564102611243428	0.6868022581183407	0.5777351247600785	0.010423600612859352	0.6772727272727276	0.3875000000000002	0.020837297813988548	0.22546699341816684	0.5757634216828914	0.2587364912768232	0.5474388947339673	0.6985104368783278	0.010749185788584633
10_15	0.699595787655281	0.9100215454799828	0.5038541680145717	0.0036900369892168988	0.23523909474360444	0.005691057050422933	0.7377597501809589	0.6857247918203635	0.5493271253260354	0.5463991551390963	0.7294963575534306	0.6645865247269052	0.5366690274817116	0.5344400486144852	0.7377597501809604	0.6857247918203607	0.549327125326034	0.5463991551390974	0.7294963575534342	0.6645865247269096	0.536669027481713	0.5344400486144839	0.0017857143358292991	0.953	0.0	0.999838500060241	0.00016204996248665612	0.0026108374534356818	0.019331087954686844	0.005825741601357041	0.00017089478056945046	0.0015430668799001803	0.0004759584541075358	1.693196445996543e-05	4.2479712259250404e-05	0.0	0.0	1.0	0.10115350487173909	0.33267384030452035	0.030658267915580982	0.29166666666666663	0.0010498688086481697	0.6666666666666667	0.5999999999999999	0.6666666666666669	0.11942675159235669	0.25676937441643316	0.2516619183285851	0.8333333333333333	0.44444444444444453	0.3561643835616439	0.4007722007722011	0.2181818181818182	0.14186507936507936	0.44303797468354433	0.1883116883116883	0.12418300653594774	0.2806828493647914	0.15875805506736956	0.45852417302798776	0.07624161072952224	1.0	1.0	0.4951591038512744	0.0	0.8526785714285718	0.0	0.5	0.8111801242236025	0.8092101222283643	0.8520710059171599	0.6923076923076924	0.28602305475504325	0.3552606557492118	0.8092101222283643	0.7050077706787319	0.37003101710967506	0.00029586046165491227	6.566547145927136e-05	0.00016167115353341534	0.0018559414533624746	0.8237020054355659	0.554592899039643	0.005636963420639378	0.9981131589279675	0.0030303030792308504	0.6205200766808511	0.5777351247600785	0.005724760083704933	0.6886363636363637	0.3875000000000002	0.03353948620417542	0.18030975199849772	0.5855983163447717	0.16102527588591106	0.5725053754809843	0.6186920804555754	0.009446254216054642
10_16	0.5294046873556916	0.8286433106607485	0.43740950180830873	0.003690036978477478	0.1311869548063649	0.004878048893602041	0.5247483156482201	0.6333507320995416	0.5387369002022522	0.5628139822195608	0.5271221951916764	0.5737580839358146	0.4838422397961669	0.5427965568967704	0.5247483156482231	0.6333507320995404	0.5387369002022517	0.5628139822195648	0.527122195191675	0.573758083935818	0.4838422397961689	0.542796556896767	0.0020833333889135643	0.969	0.0	0.999863485770083	0.0001368001074377604	0.002364532033056781	0.014278966232048797	0.0061312159983576055	0.000145209737217176	0.001439715814665914	0.00041121315273888904	1.6121081570971288e-05	3.168995658288201e-05	0.0	0.0	1.0	0.1130878438247946	0.3555593145887638	0.05389175578780002	0.20833333333333331	0.0018372703673917936	0.7000000000000001	0.31999999999999995	0.6969696969696969	0.2866242038216561	0.2581032412965181	0.10989010989010972	0.7444444444444444	0.31944444444444453	0.2602739726027398	0.5010395010395003	0.25333333333333335	0.13333333333333333	0.7721518987341771	0.1168831168831169	0.1045751633986928	0.7937084089534177	0.3294278461238033	0.3134860050890596	0.06568232661292736	1.0	1.0	0.5129636543248585	0.0	0.8526785714285718	0.0	0.5232558139534884	0.8944099378881989	0.8624777347828756	0.905325443786982	0.7374005305039787	0.30259365994236304	0.3820712370939106	0.8624777347828758	0.7602486617164039	0.04530546069644837	0.00023540074251915416	6.35736703742885e-06	4.3873620186138486e-05	0.005738512794380276	0.8370710269972428	0.1643408319078532	8.076525516463555e-05	0.9964148821971726	0.0032634033301848367	0.607774675586324	0.5777351247600785	0.009077320389970143	0.6818181818181819	0.41249999999999953	0.034062797334976004	0.299647654168048	0.7388037078428419	0.41573032059029436	0.3983265663061545	0.6092887130654574	0.00814332263404458
10_17	0.37108261851516555	0.8545171341804012	0.8514172022295845	0.0040590406537724414	0.8419403989673786	0.004471544856599484	0.34172536617310884	0.38994244071116657	0.4326432730100206	0.4640922142462717	0.25341551188835043	0.3656848221102979	0.3974514082624068	0.45229857165140885	0.3417253661731118	0.38994244071116535	0.4326432730100197	0.46409221424627123	0.25341551188835	0.3656848221102998	0.3974514082624073	0.4522985716514058	0.0026785715037439487	0.861	0.0	0.9998580881838384	0.00016113133398200065	0.0020689655294623124	0.022404327826021118	0.01279204573813603	0.000276239570812235	0.0034110977267804163	0.0006846134390017418	3.1022050389430064e-05	5.280395271574702e-05	0.0	0.0	1.0	0.11566104701610488	0.2658271625028867	0.006459930083468788	0.16666666666666669	0.0010498687933705687	0.7000000000000001	0.35999999999999993	0.5151515151515152	0.25477707006369493	0.38579067990832583	0.19813519813519792	0.04444444444444444	0.09722222222222222	0.1506849315068493	0.07027027027027025	0.021746880570409986	0.06162464985994397	0.05063291139240507	0.05194805194805195	0.058823529411764705	0.10163339382940106	0.03690685413005267	0.245801526717557	0.05395973153770065	1.0	1.0	0.5015802906242841	0.0	0.8526785714285718	0.0	0.6279069767441862	0.7093167701863354	0.7523493642896629	0.8362919132149902	0.6518567639257294	0.2456772334293948	0.34104497870245537	0.7523493642896629	0.6819892937317368	0.8849977602680263	0.0007459427260938183	8.068770103687339e-06	0.0005464592848283744	0.05893602433047031	0.9571683143689353	0.9192665513293516	0.0033562418352786052	0.9956905442715682	0.0027972028554133035	0.5455976436915612	0.5930902111324395	0.008668373792247731	0.706818181818182	0.46249999999999825	0.03525214081847389	0.40427366194982073	0.7523867002535017	0.5754468314793717	0.2845363183142125	0.6676658913678144	0.004885993631619101
10_18	0.3268674138236434	0.7659832670946712	0.49639820233371956	0.003321033281703672	0.18929931794797208	0.004878048940925343	0.42220421577690814	0.4729918509005143	0.500618972143462	0.6324808725633807	0.39728822056680796	0.3854608676505204	0.4326325482396477	0.6015587321933663	0.42220421577691003	0.4729918509005141	0.5006189721434618	0.6324808725633843	0.3972882205668072	0.3854608676505213	0.4326325482396477	0.6015587321933641	0.0026785714864202403	0.967	0.0	0.999846961935803	0.0001534832960708784	0.002315270955575971	0.01042584393126993	0.006552334992771648	0.00015999938947093884	0.0015320818460026993	0.00047033853162263735	1.671163057170899e-05	3.645809416173566e-05	0.0	0.0	1.0	0.08655723157852636	0.34826123138723014	0.04215535742468034	0.29166666666666663	0.0010498688010093693	0.6666666666666667	0.44000000000000006	0.6060606060606062	0.18909235668789812	0.2941176470588234	0.19999999999999998	0.6777777777777778	0.3611111111111111	0.23287671232876722	0.39608574091332754	0.2516469038208165	0.16839199447895084	0.708860759493671	0.14935064935064934	0.09150326797385623	0.5799944157475913	0.34138840070298715	0.4996183206106866	0.0808501118482441	1.0	1.0	0.4963627181521657	0.004016064257028113	0.8492541594951242	0.0	0.5581395348837209	0.804968944099379	0.7943768810269639	0.8362919132149902	0.6604774535809018	0.27377521613832856	0.34345361960034104	0.7943768810269639	0.7022966672427808	0.0464474244603652	0.00025336838352702385	7.506748789543677e-06	4.795600232605363e-05	0.005289975888858714	0.8325465612531071	0.2559985229977836	0.0003848597208884913	0.9971787200082847	0.0037296037846040408	0.6257835944130149	0.5758157389635334	0.005466851142126097	0.6659090909090909	0.40000000000000024	0.0335870599429615	0.31879445710742954	0.6612212709861672	0.3294338564129894	0.456813038156631	0.6707179465012071	0.01172638451301248
