"index";"x"
"1";"1_1"
"2";"1_2"
"3";"1_3"
"4";"1_4"
"5";"1_5"
"6";"1_6"
"7";"1_7"
"8";"1_8"
"9";"1_9"
"10";"1_10"
"11";"1_11"
"12";"1_12"
"13";"1_13"
"14";"1_14"
"15";"1_15"
"16";"1_16"
"17";"1_17"
"18";"1_18"
"19";"1_19"
"20";"1_20"
"21";"1_21"
"22";"1_22"
"23";"1_23"
"24";"1_24"
"25";"1_25"
"26";"1_26"
"27";"1_27"
"28";"1_28"
"29";"1_29"
"30";"1_30"
"31";"1_31"
"32";"1_32"
"33";"1_33"
"34";"1_34"
"35";"1_35"
"36";"1_36"
"37";"1_37"
"38";"1_38"
"39";"1_39"
"40";"1_40"
"41";"1_41"
"42";"1_42"
"43";"1_43"
"44";"1_44"
"45";"1_45"
"46";"1_46"
"47";"1_47"
"48";"1_48"
"49";"1_49"
"50";"1_50"
"51";"2_1"
"52";"2_2"
"53";"2_3"
"54";"2_4"
"55";"2_5"
"56";"2_6"
"57";"2_7"
"58";"2_8"
"59";"2_9"
"60";"2_10"
"61";"2_11"
"62";"2_12"
"63";"2_13"
"64";"2_14"
"65";"2_15"
"66";"2_16"
"67";"2_17"
"68";"2_18"
"69";"2_19"
"70";"2_20"
"71";"2_21"
"72";"2_22"
"73";"2_23"
"74";"2_24"
"75";"2_25"
"76";"2_26"
"77";"2_27"
"78";"2_28"
"79";"2_29"
"80";"2_30"
"81";"2_31"
"82";"2_32"
"83";"2_33"
"84";"2_34"
"85";"2_35"
"86";"2_36"
"87";"2_37"
"88";"2_38"
"89";"2_39"
"90";"2_40"
"91";"2_41"
"92";"2_42"
"93";"2_43"
"94";"2_44"
"95";"2_45"
"96";"2_46"
"97";"2_47"
"98";"2_48"
"99";"2_49"
"100";"2_50"
"101";"3_1"
"102";"3_2"
"103";"3_3"
"104";"3_4"
"105";"3_5"
"106";"3_6"
"107";"3_7"
"108";"3_8"
"109";"3_9"
"110";"3_10"
"111";"3_11"
