,Fold,Algorithm,Label,Model,MAE
0,0,12,Precision,random_forest,10.047512970506299
1,1,12,Precision,random_forest,8.054371495485631
2,2,12,Precision,random_forest,9.75682262590499
3,3,12,Precision,random_forest,7.610070215639947
4,4,12,Precision,random_forest,5.976229143430128
5,5,12,Precision,random_forest,9.350470774194854
6,6,12,Precision,random_forest,1.3984178508617255
7,7,12,Precision,random_forest,7.320931435167334
8,8,12,Precision,random_forest,6.518684869098023
9,9,12,Precision,random_forest,9.229183760146507
10,10,12,Precision,random_forest,8.538501360511354
11,11,12,Precision,random_forest,18.64740110010474
12,12,12,Precision,random_forest,3.920524215818554
13,13,12,Precision,random_forest,4.804143738835428
14,14,12,Precision,random_forest,11.472904225651392
15,15,12,Precision,random_forest,11.535909812333914
16,16,12,Precision,random_forest,18.226309286186183
17,17,12,Precision,random_forest,7.900685348917768
18,18,12,Precision,random_forest,2.3105479866437366
19,19,12,Precision,random_forest,42.78678059718522
20,20,12,Precision,random_forest,7.627361709182491
21,21,12,Precision,random_forest,8.657097032363176
22,22,12,Precision,random_forest,10.092481886548395
23,23,12,Precision,random_forest,7.579416292087221
24,24,12,Precision,random_forest,12.658632496338939
25,25,12,Precision,random_forest,10.599376296325335
26,26,12,Precision,random_forest,3.7532968040964927
27,27,12,Precision,random_forest,7.215421728934463
28,28,12,Precision,random_forest,6.131542905520607
29,29,12,Precision,random_forest,3.763617131642569
30,30,12,Precision,random_forest,7.117580119948317
31,31,12,Precision,random_forest,4.232846339014839
32,32,12,Precision,random_forest,4.070714305504693
33,33,12,Precision,random_forest,6.142441235839662
34,34,12,Precision,random_forest,1.5130780981558587
35,35,12,Precision,random_forest,8.346406941884572
36,36,12,Precision,random_forest,11.691226498390526
37,37,12,Precision,random_forest,6.872342102539592
38,38,12,Precision,random_forest,6.118123140465002
39,39,12,Precision,random_forest,7.024623042382785
40,40,12,Precision,random_forest,4.380986318488682
41,41,12,Precision,random_forest,7.285650357346665
42,42,12,Precision,random_forest,30.34314264018376
43,43,12,Precision,random_forest,7.35677375183354
44,44,12,Precision,random_forest,3.294962326757877
45,45,12,Precision,random_forest,6.564036785542285
46,46,12,Precision,random_forest,4.553932378513026
47,47,12,Precision,random_forest,2.378383104623672
48,48,12,Precision,random_forest,4.2009695311441595
49,49,12,Precision,random_forest,8.033221769962529
