,Fold,Algorithm,Precision_mae,log_Precision_mae
0,0,0_1_2,17.229479110819458,5.715262945754915
1,1,0_1_2,12.323511041890397,5.148925188865578
2,2,0_1_2,16.683285632964637,10.370515044007826
3,3,0_1_2,22.768104052152164,15.57688459954693
4,4,0_1_2,23.316365549210975,9.647461687692795
5,5,0_1_2,16.835847667990667,9.968610884173762
6,6,0_1_2,11.003462314387823,3.398607885466717
7,7,0_1_2,37.99815617911353,10.234943649419368
8,8,0_1_2,23.96623433917478,10.926611314168062
9,9,0_1_2,26.19844267458504,15.193609311293557
10,10,0_1_2,14.653798823233686,7.717403273695969
11,11,0_1_2,42.84866026253303,22.447408895803736
12,12,0_1_2,18.942579365494424,15.855855371485445
13,13,0_1_2,20.314307432226087,8.267490713856791
14,14,0_1_2,26.748346408151644,19.79444502192794
15,15,0_1_2,21.085941514926883,12.280366303184186
16,16,0_1_2,24.572973324401975,18.811095746590283
17,17,0_1_2,44.79004278276843,18.115898208497658
18,18,0_1_2,18.7596388455699,7.193586213915855
19,19,0_1_2,72.80085874275392,43.808848293626745
20,20,0_1_2,12.853656623009792,8.719724482903763
21,21,0_1_2,24.661085915272764,8.978769889190046
22,22,0_1_2,18.154187220135842,11.352300681511926
23,23,0_1_2,21.967296476104696,11.482798027876186
24,24,0_1_2,24.296443631166785,17.331581190449082
25,25,0_1_2,23.417691527530966,15.051558678645875
26,26,0_1_2,16.747337293336145,5.823178143745177
27,27,0_1_2,12.26953573360934,13.573808021598746
28,28,0_1_2,16.026678931802152,10.772485050737323
29,29,0_1_2,13.75371065322589,5.559725809504531
30,30,0_1_2,14.315616114781932,12.852825495818232
31,31,0_1_2,14.243316403540744,10.486223049778657
32,32,0_1_2,22.305468378237766,7.155459073709682
33,33,0_1_2,19.75647143412345,13.018897280798386
34,34,0_1_2,23.32873280185946,5.990929997355089
35,35,0_1_2,33.04773227514546,12.128145316476052
36,36,0_1_2,20.29032924606501,12.143107222013056
37,37,0_1_2,18.979101730270482,10.061802879127422
38,38,0_1_2,20.482894053724397,7.268618408123803
39,39,0_1_2,15.664730313499865,16.607431523072627
40,40,0_1_2,19.910927450295905,8.29441137647051
41,41,0_1_2,20.506564212238757,15.131194926270616
42,42,0_1_2,51.248179881291854,42.539504058976405
43,43,0_1_2,13.952517347094753,10.370365775442837
44,44,0_1_2,18.600499914759336,9.474303333798966
45,45,0_1_2,27.246596284555693,9.672580780375133
46,46,0_1_2,14.282484308204586,6.836590262318924
47,47,0_1_2,18.714526261957456,14.467482656064652
48,48,0_1_2,15.209482640957985,7.965319591837076
49,49,0_1_2,19.124491296407097,9.767061069190836
